What are the factors that influence your learning pace and how much time you spend?,
9063,vor allem die verfügbare Zeit und die deadlines
9066,"University exams , assignment and lack of self discipline and focus ,instead of learning the my coursework I find myself diving deep into some topic of interest which might not help me much in landing a job and making a good career "
9069,Arbeitslast
9070,"Mi trabajo, las actividades de mi hija y el cansancio mental o estrés, si no estoy mentalmente preparado no hago mi clase diaria. "
9072,My mood and how interesting the topic is.
9078,Üşengeçlik
9084,"Mainly work tasks and, in my free time, socialization."
9087,"Deadline and fear of not completing the course on time
"
9091,Öğreneceğim konuya olan merakım
9092,"How difficult I find the subject
"
9094,Work
9105,My job takes up most of the time that I distribute in the weeks.
9112,Motivation from my friends and 1-3 hours a day
9115,Distrações 
9116,"1) Learning environment.
2) Stable Electricity
3)Data subscription service "
9121,Upcoming assessments and assignments make me ramp up the studying efforts.
9128,"mood and workload, 4 hours"
9131,My emotional state; Time spend on what?
9132,Carga de trabajo
9134,Health and my family 
9135,Studying while having a full time job can be exhausting. So I only study when I have energy left.
9136,İş yerimde çalışma sürelerimin değişmesi
9142,/
9144,My university courses and assignments I have due
9146,Mostly my current life situation
9147,Selon mes besoins propre
9148,My interest and deadline are the most influential factors affecting my learning pace 
9155,"Distrações
"
9156,"La disponibilidad con respecto a mi trabajo, no siempre sestoy ennun lugar como para aprender"
9158,How busy i am with other things
9159,El tiempo que tenga disponible. En este momento tengo un bebé de 1 año y ayudar en casa me toma muchísimo tiempo 
9161,Current job.
9166,"Interest, Difficulty"
9169,"Work, family and general motivation"
9170,La motivación que tengo para un proyecto o tener un objetivo para el cual necesite el curso
9176,"Daily chores, Mental health, I want to keep a constant amount of effort in everything that I do but sometimes I struggle to keep a pace. "
9182,Ma disponibilité 
9183,Complexidade do problema.
9185,Family and job responsibilities
9188,"The amount of time I dedicate to learning (9-16 hours a week) is influenced by several factors:
Personal motivation and interest 
Prior knowledge and experience
"
9189,Bilmiyorum 
9191,Занятость в личных делах
9193,"Mental fatigue, balance studying with life, appetite for a job change to earn more money"
9197,"Família e trabalho.
Depende do dia e da situação "
9201,Other subject that come with choosing CS heavily influence my learning pace because I have to dedicate equal time to this subject also to secure good enough grades for semesters final examination. But I try to balance things eventually and at least dedicate 1 to 2 hours a day for programming.
9202,Activités extrascolaire et cours qui prennent plus ou moins de temps 
9207,"weekend plans, how stressful or not uni is at the moment"
9210,대학교 학업과 시간대가 겹치고 체력적으로 오래 학습하기 힘듦
9211,"It depends on the subject and the deadline, I dedicate more time and effort to subjects I think are harder to learn than others."
9216,"Usually, how much time I have between University classes and homework, and how I feel (my level of stress, motivation, mental wellbeing)."
9225,"well-being, level of concentration, about 3-5h"
9226,Interesse am Thema
9227,O tempo disponível. 4 horas
9229,Motivasyon
9235,Responsabilidad 
9239,Interest and motivation 
9240,Depending how free I am and how interesting/important the topic is. 
9242,motivation 
9243,"It depends on how much time I have. Some weeks I have more time some less because of other responsibilities. My primary source of income is food delivery, and what time I have left over in my working hours of the day I would like to program but sometimes other things get in the way of this already limited time and energy."
9244,Depending on the interest of the topic
9246,Komplexität
9248,Depends on the topic I am learning. I don't stop to understand the topic until I get inner satisfaction. 
9251,"Buscar novas oportunidades de emprego e novos desafios, meu plano de estudos e constante tenho muito foco e disciplina "
9252,"Depending on whether I current
Ly have an idea for a project"
9253,"tiempo libre para aprender, además del tiempo empleado
en trabajar"
9255,Mantener mi agenda actualizada: el tener las horas libres bien definidas me permite aprovechar pequeños momentos para estudiar.
9257,The complexity of the topic 
9265,El Trabajo y la Universidad
9268,El estrés del día me dice si tengo el espacio mental disponible para dedicar 1 o 2 horas de mis noches a aprender. 
9270,"Principalement mon horaire scolaire, ensuite ma vie personnelle. "
9274,The grit to get it done. I detest not completing a project. 
9275,"Prior knowledge and experience, mental and physical health, time management. I spent around 5-8 hours a week"
9278,Bilmiyorum 
9281,My overall energy level
9283,Academic workloads
9284,Mes besoins pour le travail 
9286,"Work schedule, free time activities, house work"
9290,My health and commitments to other people.
9293,"If I have time, as well as if there is a need to learn the concepts"
9295,Assignments
9296,"Time availability, energy level"
9297,Tests and my current mental state
9299,La asistencia para resolver dudas e inquietudes 
9300,수면시간
9301,"Psychische Faktoren, andere Arbeiten"
9305,Amount of free time of job and other planned activities 
9308,缺少学习指导，缺少足够的资料
9309,"Complementarias 
"
9313,"영어자격 시험 준비, 자기소개서 작성 등 취직 준비 "
9315,Requisitos de tareas de mi trabajo 
9323,Physical health 
9325,Workload 
9327,가정사
9328,Compatibilidad con trabajo y familia
9330,The duration of the time
9331,Yoğunluk durumum
9332,Available time after work/university 
9333,"Precisar ficar ""apagando fogo"" sobre questões familiares ou pessoais, alguns coisas ou tomam tempo ou me desestabilizam e não consigo estudar mesmo tendo tempo."
9335,Interest mostly
9336,"As along as the time does not collide with my other activities like university lectures.
I normally spend about 2 hours "
9338,Mes parents
9341,ADHD and working full time definitely impact 
9342,Work and universitiy schedules
9343,It depends mostly on my motivation for when I'm studying as a hobby. When it comes to my university related learning it mostly depends on deadlines 
9346,Motivation and interest in the topic 
